101051895,0.49,-0.86,-0.5,-1.08,-1.27,0.1,0.25,0.42,-0.13,-0.17,-0.9,-0.74
101051896,-1.34,0.56,0.6,-0.35,-1,-0.69,-0.94,-1.61,-1.8,-2.06,-1.54,-2.3
101051897,-2.39,-2.59,1.93,1.79,-0.33,-0.93,-1.34,-1.33,-2.41,-2.79,-3.24,-2.28
101051898,-1.71,-2.51,-2.81,-2.48,-3.12,-3.48,-3.13,-2.94,-3.03,-2.53,-2.47,-2.85
101051899,-2.45,-1.8,-0.68,-1.08,-2.09,-2.74,-2.35,-2.5,-3.18,-3.42,-3.38,-2.63
101051900,-2.76,-2.51,-2.69,1.61,1.28,3.95,3.76,-0.39,-0.79,0.75,-0.28,-0.73
101051901,-0.7,-1.19,-1.41,-1.07,-0.92,-0.85,-1.51,2.42,3.15,-0.4,-0.93,-0.51
101051902,-0.59,-0.82,-0.24,-0.78,-1.8,-2.15,-2.85,-3.09,0.15,-0.22,0.13,0.24
101051903,-0.32,1.24,-0.4,-0.6,0.49,0.91,0.71,0.88,-0.78,-0.99,-1.13,-1.39
101051904,-1.85,-2.64,-2.26,-2.35,-2.22,-2.2,-1.69,-1.75,-2.18,-2.79,-2.88,-2.55
101051905,-2.46,-1.76,-2.27,-2.37,0.09,0.97,0.88,1.24,1.13,1.98,-0.82,-0.75
101051906,-0.82,-1.67,-1.32,-2.18,-2.27,-2.38,1.24,0.98,1.96,2.28,-0.18,-0.42
101051907,-1.25,-1.23,-1.96,0.18,1.46,1.41,-0.02,-0.41,0.56,-0.25,-0.09,-0.35
101051908,-0.61,-0.31,-0.74,-0.8,-0.2,-0.01,-0.17,-0.21,-0.51,-1.03,-1.83,-1.49
101051909,-1.98,0.83,0.75,1.07,1.53,2.33,2.26,-0.51,-0.74,-0.8,-1.68,-1.75
101051910,-1.82,-1.62,-2.97,-3.37,0.44,1.47,2.32,-0.29,-0.73,-0.5,-1.14,-1.29
101051911,-1.36,-1.36,-2.17,1.96,1.05,0.8,1.3,1.91,1.2,1.22,1.01,2.17
101051912,1.76,1.37,2.17,3.07,2.97,2.86,3.26,3.85,3.52,-0.26,-0.96,0.32
101051913,1.05,0.99,-0.12,-0.83,-0.94,-0.63,-1.15,-1.65,-1.3,-1.3,-2.17,-2.51
101051914,-3.21,-3.16,-3.17,-2.96,-3.35,-3.89,-4.32,-3.69,-3.73,-3.63,-3.81,-2.98
101051915,-2.75,-2.73,-3,-3.87,-3.94,-3.92,0.13,0.93,0.78,0.77,1.09,1.12
